emp_no,first_name,last_name,title,from_date
10001,Georgi,Facello,Senior Engineer,6/26/1986
10004,Chirstian,Koblick,Senior Engineer,12/1/1995
10005,Kyoichi,Maliniak,Senior Staff,9/12/1996
10006,Anneke,Preusig,Senior Engineer,8/5/1990
10009,Sumant,Peac,Senior Engineer,2/18/1995
10011,Mary,Sluis,Staff,1/22/1990
10018,Kazuhide,Peha,Senior Engineer,4/3/1995
10019,Lillian,Haddadi,Staff,4/30/1999
10020,Mayuko,Warwick,Engineer,12/30/1997
10022,Shahaf,Famili,Engineer,9/3/1999
10023,Bojan,Montemayor,Engineer,9/27/1999
10026,Yongqiao,Berztiss,Senior Engineer,3/19/2001
10035,Alain,Chappelet,Senior Engineer,9/5/1996
10047,Zvonko,Nyanchama,Senior Engineer,3/31/1998
10051,Hidefumi,Caine,Senior Engineer,10/15/1998
10053,Sanjiv,Zschoche,Senior Staff,11/13/1994
10057,Ebbe,Callaway,Senior Engineer,1/15/2000
10058,Berhard,McFarlin,Senior Staff,4/25/1988
10059,Alejandro,McAlpine,Senior Staff,6/26/1991
10063,Gino,Leonhardt,Senior Engineer,4/8/1989
10066,Kwee,Schusler,Senior Engineer,2/25/1998
10067,Claudi,Stavenow,Senior Engineer,3/3/1996
10070,Reuven,Garigliano,Technique Leader,10/14/1985
10072,Hironoby,Sidou,Senior Engineer,5/21/1995
10073,Shir,McClurg,Engineer,2/2/1998
10074,Mokhtar,Bernatsky,Technique Leader,8/13/1990
10076,Erez,Ritzmann,Senior Engineer,7/15/1996
10088,Jungsoon,Syrzycki,Senior Staff,9/2/1993
10091,Amabile,Gomatam,Senior Engineer,11/18/2001
10096,Jayson,Mandell,Engineer,1/23/1999
10097,Remzi,Waschkowski,Senior Staff,9/14/1996
10100,Hironobu,Haraldson,Senior Staff,9/21/1994
10101,Perla,Heyers,Staff,10/14/1998
10103,Akemi,Birch,Engineer,1/12/1998
10106,Eben,Aingworth,Senior Engineer,10/26/1997
10108,Lunjin,Giveon,Staff,3/20/1999
10116,Dayanand,Czap,Senior Engineer,2/27/1994
10126,Kayoko,Valtorta,Senior Staff,9/8/1991
10127,Subir,Baja,Senior Engineer,5/17/1991
10129,Armond,Peir,Technique Leader,1/16/1996
10130,Nishit,Casperson,Senior Engineer,6/21/1988
10131,Magdalena,Eldridge,Engineer,9/17/1999
10134,Diederik,Siprelle,Senior Engineer,12/12/1994
10138,Perry,Shimshoni,Senior Engineer,3/3/2001
10149,Xiadong,Perry,Staff,1/28/1994
10150,Zhenbing,Perng,Senior Engineer,11/16/1995
10152,Jaques,Munro,Engineer,1/27/1986
10153,Heekeun,Majewski,Assistant Engineer,1/8/2000
10157,Nigel,Aloisi,Senior Engineer,12/10/1997
10159,Serif,Buescher,Senior Engineer,6/12/1996
10160,Debatosh,Khasidashvili,Senior Staff,12/6/2000
10161,Hairong,Mellouli,Engineer,6/9/1991
10163,Karsten,Szmurlo,Senior Staff,2/2/1992
10166,Samphel,Siegrist,Engineer,9/2/1996
10177,Pragnesh,Iisaka,Staff,2/6/1993
10183,Mechthild,Bonifati,Staff,8/11/1996
10186,Shigehito,Kropatsch,Staff,12/25/1996
10189,Khalid,Erva,Engineer,9/13/1992
10194,Josyula,Hofmeyr,Senior Staff,2/14/2002
10196,Marc,Hellwagner,Staff,1/31/1999
10198,Pranav,Furedi,Senior Engineer,8/31/1993
10203,Steen,Escriba,Senior Staff,4/6/1995
10205,Mabhin,Leijenhorst,Senior Engineer,8/23/1993
10207,Girolamo,Anandan,Senior Engineer,10/11/1997
10215,Xiaobin,Duclos,Senior Staff,11/23/1991
10217,Yongmin,Roison,Technique Leader,5/12/1986
10219,Genta,Kolvik,Senior Staff,3/31/1993
10224,Leon,Trogemann,Senior Engineer,1/9/1996
10228,Karoline,Cesareni,Senior Staff,12/22/1998
10229,Ulises,Takanami,Engineer,2/20/1996
10230,Clyde,Vernadat,Senior Staff,6/16/2002
10233,Lein,Vendrig,Senior Staff,4/28/2000
10237,Yannis,Mandell,Senior Staff,8/11/1997
10239,Nikolaos,Llado,Staff,5/4/1996
10240,Remko,Maccarone,Engineer,10/6/1998
10248,Frederique,Tempesti,Senior Staff,8/12/1997
10249,Marie,Boreale,Senior Engineer,12/7/2000
10258,Basil,Ishibashi,Senior Engineer,5/16/1997
10262,Mahendra,Maraist,Staff,1/22/1996
10272,Yishai,Cannane,Staff,10/23/1997
10278,Lubomir,Nitsch,Engineer,7/2/1993
10281,Moty,Kusakari,Senior Engineer,12/2/2000
10282,Hercules,Benzmuller,Engineer,5/2/2001
10283,Kauko,Birjandi,Senior Engineer,5/26/1995
10284,Masali,Murrill,Engineer,7/6/1999
10286,Saddek,Gopalakrishnan,Staff,12/24/1994
10294,Rutger,Miara,Senior Engineer,1/30/1999
10295,Kristine,Velardi,Senior Staff,6/18/2000
10298,Dietrich,DuCasse,Staff,4/27/1999
10302,Faiza,Baer,Senior Staff,7/22/1994
10305,Hirochika,Piancastelli,Engineer,10/31/1988
10306,Heng,Kilgour,Staff,9/6/1993
10307,Nikolaos,Leaver,Engineer,10/16/1999
10321,Guenter,Ravishankar,Staff,7/24/1995
10322,Isamu,Dahlbom,Senior Engineer,1/29/1997
10325,Arunachalam,Badr,Senior Staff,9/20/1990
10326,Masali,Czap,Staff,9/2/1998
10327,Roded,Facello,Engineer,9/18/1987
10328,Serenella,Kawashima,Engineer,7/17/1998
10333,Snehasis,Dymetman,Senior Engineer,1/16/1998
10340,Djelloul,Laventhal,Senior Staff,3/30/1993
10343,Dinah,Syrzycki,Senior Engineer,10/3/1997
10347,Pradeep,Kaminger,Staff,2/20/1998
10349,Oksana,Brodie,Senior Staff,9/27/1997
10350,Kristen,Kavvadias,Engineer,5/10/1997
10353,Phule,Hammerschmidt,Senior Staff,8/24/1989
10355,Satyanarayana,Cochrane,Staff,1/26/1996
10356,Vasilis,Standera,Senior Staff,6/26/1995
10358,Qunsheng,Tagansky,Technique Leader,2/19/1991
10363,Toshiki,Muniz,Assistant Engineer,9/11/1985
10364,Nakhoon,Dengi,Senior Engineer,11/14/1985
10367,Hyuckchul,Gini,Senior Staff,6/23/2000
10372,Anneli,Frijda,Technique Leader,7/30/1985
10374,Willard,Rosin,Staff,12/8/1993
10377,Marl,Grospietsch,Senior Engineer,8/24/1996
10382,Shirish,Dredge,Engineer,7/1/1998
10387,Parto,Wrigley,Senior Staff,1/7/1999
10388,Hironoby,Kaiser,Staff,5/28/1999
10389,Make,Peir,Technique Leader,5/13/1999
10395,Takahiro,Deverell,Engineer,8/10/1998
